DISTRICT,DIST_NAME,exports_value,imports_value,trade_balance,exports_value_last_month,imports_value_last_month,trade_balance_last_month,total_trade
-,TOTAL FOR ALL DISTRICTS,1026485414767,1567721881367,-541236466600,174359922265,265566537561,-91206615296,2594207296134
10,"NEW YORK CITY, NY",87137163591,155513910439,-68376746848,14165486219,25407349935,-11241863716,242651074030
27,"LOS ANGELES, CA",60125743604,177527118995,-117401375391,10985332073,32476590080,-21491258007,237652862599
23,"LAREDO, TX",86631396321,142657215236,-56025818915,14053719506,23699647148,-9645927642,229288611557
53,"HOUSTON-GALVESTON, TX",125118715779,62733273120,62385442659,20680424140,10072995273,10607428867,187851988899
39,"CHICAGO, IL",39981311795,142351593007,-102370281212,7302749500,23483644241,-16180894741,182332904802
38,"DETROIT, MI",74950238997,84396609153,-9446370156,12653490824,13969519353,-1316028529,159346848150
20,"NEW ORLEANS, LA",68096227871,59677833958,8418393913,11033113536,10234981683,798131853,127774061829
17,"SAVANNAH, GA",36461925087,82406903884,-45944978797,6182310778,14548923466,-8366612688,118868828971
41,"CLEVELAND, OH",30856728887,61435171847,-30578442960,5524121971,10939111052,-5414989081,92291900734
28,"SAN FRANCISCO, CA",29812215280,52180289651,-22368074371,5529931923,9935273457,-4405341534,81992504931
24,"EL PASO, TX",28318448971,48864067432,-20545618461,4984438087,9428128404,-4443690317,77182516403
30,"SEATTLE, WA",30653773044,41481267323,-10827494279,5604362470,6542081084,-937718614,72135040367
52,"MIAMI, FL",38256430440,32099446167,6156984273,6357365762,5153022637,1204343125,70355876607
70,LOW VALUE,40221565548,11790192187,28431373361,6895269965,2002263470,4893006495,52011757735
16,"CHARLESTON, SC",15334727494,34589609398,-19254881904,2869373397,4958241135,-2088867738,49924336892
25,"SAN DIEGO, CA",17734811734,31539983617,-13805171883,2952275832,5631814517,-2679538685,49274795351
09,"BUFFALO, NY",26045331500,22345226100,3700105400,4549878095,3675660584,874217511,48390557600
11,"PHILADELPHIA, PA",9975979215,36882114832,-26906135617,1636117991,6183909118,-4547791127,46858094047
14,"NORFOLK, VA",20949659520,23404662722,-2455003202,3432080556,3495012745,-62932189,44354322242
55,"DALLAS-FORT WORTH, TX",15152646744,28239031625,-13086384881,2698840210,5024880434,-2326040224,43391678369
34,"PEMBINA, ND",18829708119,13419898220,5409809899,3105503846,2227531205,877972641,32249606339
33,"GREAT FALLS, MT",11008564732,18476475836,-7467911104,1816807014,2984217361,-1167410347,29485040568
07,"OGDENSBURG, NY",10272962339,17767189950,-7494227611,1751391667,2921023782,-1169632115,28040152289
13,"BALTIMORE, MD",6891468162,21062938737,-14171470575,1232757171,3283839420,-2051082249,27954406899
