YEAR,MONTH,CTY_CODE,CTY_NAME,GEN_VAL_MO,time
2022,12,-,TOTAL FOR ALL COUNTRIES,253725418611,2022-12
2022,12,0026,APEC,164954193217,2022-12
2022,12,0022,OECD,157748651043,2022-12
2022,12,5XXX,ASIA,104847969134,2022-12
2022,12,0023,NATO,80137896303,2022-12
2022,12,0014,PACIFIC RIM COUNTRIES,79971243370,2022-12
2022,12,1XXX,NORTH AMERICA,69857313699,2022-12
2022,12,0020,NAFTA,69852463203,2022-12
2022,12,4XXX,EUROPE,61915476203,2022-12
2022,12,0003,EUROPEAN UNION,48705701225,2022-12
2022,12,0021,TWENTY LATIN AMERICAN REPUBLICS,46855277339,2022-12
2022,12,0024,LAFTA,43966129236,2022-12
2022,12,0025,EURO AREA,42848110954,2022-12
2022,12,5700,CHINA,37235035665,2022-12
2022,12,2010,MEXICO,35815569471,2022-12
2022,12,1220,CANADA,34036893732,2022-12
2022,12,0027,ASEAN,23820577485,2022-12
2022,12,4280,GERMANY,14278131723,2022-12
2022,12,5880,JAPAN,13469662219,2022-12
2022,12,5800,"KOREA, SOUTH",9844629056,2022-12
2022,12,5520,VIETNAM,8542171801,2022-12
2022,12,3XXX,SOUTH AMERICA,8456624793,2022-12
2022,12,5830,TAIWAN,7089934468,2022-12
2022,12,4190,IRELAND,6974803097,2022-12
2022,12,4759,ITALY,6325606945,2022-12
2022,12,4120,UNITED KINGDOM,6010932586,2022-12
2022,12,5330,INDIA,5956536059,2022-12
2022,12,4279,FRANCE,4780179153,2022-12
2022,12,5490,THAILAND,4162045106,2022-12
2022,12,5570,MALAYSIA,3975101633,2022-12
2022,12,4419,SWITZERLAND,3923085239,2022-12
2022,12,2XXX,CENTRAL AMERICA,3749755387,2022-12
2022,12,3510,BRAZIL,3236076345,2022-12
2022,12,7XXX,AFRICA,2987805919,2022-12
2022,12,0017,CAFTA-DR,2730565694,2022-12
2022,12,5590,SINGAPORE,2585559597,2022-12
2022,12,4210,NETHERLANDS,2548832561,2022-12
2022,12,5600,INDONESIA,2382926566,2022-12
2022,12,0028,CACM,2207066330,2022-12
2022,12,4231,BELGIUM,1968503452,2022-12
2022,12,6XXX,AUSTRALIA AND OCEANIA,1910473476,2022-12
2022,12,5170,SAUDI ARABIA,1835395349,2022-12
2022,12,5081,ISRAEL,1801006608,2022-12
2022,12,4099,DENMARK,1676796362,2022-12
2022,12,4700,SPAIN,1603028479,2022-12
2022,12,4330,AUSTRIA,1533133592,2022-12
2022,12,4010,SWEDEN,1507461398,2022-12
2022,12,4890,TURKEY,1465738278,2022-12
2022,12,3010,COLOMBIA,1439225213,2022-12
2022,12,6021,AUSTRALIA,1377921424,2022-12
