YEAR,MONTH,CTY_CODE,CTY_NAME,GEN_VAL_MO,time
2020,1,5700,CHINA,32944673286,2020-01
2020,2,5700,CHINA,22576609689,2020-02
2020,3,5700,CHINA,19638123468,2020-03
2020,4,5700,CHINA,30730147843,2020-04
2020,5,5700,CHINA,36318738261,2020-05
2020,6,5700,CHINA,37286885658,2020-06
2020,7,5700,CHINA,40469812982,2020-07
2020,8,5700,CHINA,40598942662,2020-08
2020,9,5700,CHINA,41003217161,2020-09
2020,10,5700,CHINA,44654266193,2020-10
2020,11,5700,CHINA,44700409933,2020-11
2020,12,5700,CHINA,41626191515,2020-12
2020,1,2010,MEXICO,28202281911,2020-01
2020,2,2010,MEXICO,28903203952,2020-02
2020,3,2010,MEXICO,29882071459,2020-03
2020,4,2010,MEXICO,15771982737,2020-04
2020,5,2010,MEXICO,14857386976,2020-05
2020,6,2010,MEXICO,25672078884,2020-06
2020,7,2010,MEXICO,28878189550,2020-07
2020,8,2010,MEXICO,29555632641,2020-08
2020,9,2010,MEXICO,29788032020,2020-09
2020,10,2010,MEXICO,32785496819,2020-10
2020,11,2010,MEXICO,29819707574,2020-11
2020,12,2010,MEXICO,29360853468,2020-12
2020,1,1220,CANADA,25286848208,2020-01
2020,2,1220,CANADA,24339034042,2020-02
2020,3,1220,CANADA,25080381294,2020-03
2020,4,1220,CANADA,14936992515,2020-04
2020,5,1220,CANADA,15842688055,2020-05
2020,6,1220,CANADA,20315178877,2020-06
2020,7,1220,CANADA,22329745268,2020-07
2020,8,1220,CANADA,23748921934,2020-08
2020,9,1220,CANADA,24595478130,2020-09
2020,10,1220,CANADA,24853058195,2020-10
2020,11,1220,CANADA,24064876260,2020-11
2020,12,1220,CANADA,24632320835,2020-12
2020,1,5880,JAPAN,10457838800,2020-01
2020,2,5880,JAPAN,10665460534,2020-02
2020,3,5880,JAPAN,12173551333,2020-03
2020,4,5880,JAPAN,9849203383,2020-04
2020,5,5880,JAPAN,7383247510,2020-05
2020,6,5880,JAPAN,6641328361,2020-06
2020,7,5880,JAPAN,8271013302,2020-07
2020,8,5880,JAPAN,9698066349,2020-08
2020,9,5880,JAPAN,9942045205,2020-09
2020,10,5880,JAPAN,11251333342,2020-10
2020,11,5880,JAPAN,11689961397,2020-11
2020,12,5880,JAPAN,11483450654,2020-12
2020,1,4280,GERMANY,9830804851,2020-01
2020,2,4280,GERMANY,9081404198,2020-02
2020,3,4280,GERMANY,11979800108,2020-03
2020,4,4280,GERMANY,8564742080,2020-04
2020,5,4280,GERMANY,7283364455,2020-05
2020,6,4280,GERMANY,7707859076,2020-06
2020,7,4280,GERMANY,8665591292,2020-07
2020,8,4280,GERMANY,9884743569,2020-08
2020,9,4280,GERMANY,10768756074,2020-09
2020,10,4280,GERMANY,10380865712,2020-10
2020,11,4280,GERMANY,9813990441,2020-11
2020,12,4280,GERMANY,10934905170,2020-12
2020,1,4120,UNITED KINGDOM,4602430446,2020-01
2020,2,4120,UNITED KINGDOM,4522604380,2020-02
2020,3,4120,UNITED KINGDOM,5032981805,2020-03
2020,4,4120,UNITED KINGDOM,4174885024,2020-04
2020,5,4120,UNITED KINGDOM,3226982324,2020-05
2020,6,4120,UNITED KINGDOM,3304835278,2020-06
2020,7,4120,UNITED KINGDOM,3915843084,2020-07
2020,8,4120,UNITED KINGDOM,3790513823,2020-08
2020,9,4120,UNITED KINGDOM,4170061933,2020-09
2020,10,4120,UNITED KINGDOM,4226105507,2020-10
2020,11,4120,UNITED KINGDOM,4398518142,2020-11
2020,12,4120,UNITED KINGDOM,4914051001,2020-12
2020,1,5520,VIETNAM,6125356435,2020-01
2020,2,5520,VIETNAM,6031865630,2020-02
2020,3,5520,VIETNAM,5181046254,2020-03
2020,4,5520,VIETNAM,4999940670,2020-04
2020,5,5520,VIETNAM,4848335339,2020-05
2020,6,5520,VIETNAM,5868799335,2020-06
2020,7,5520,VIETNAM,7524736460,2020-07
2020,8,5520,VIETNAM,8370495626,2020-08
2020,9,5520,VIETNAM,7919532461,2020-09
2020,10,5520,VIETNAM,7941606649,2020-10
2020,11,5520,VIETNAM,7853564277,2020-11
2020,12,5520,VIETNAM,6917069961,2020-12
2020,1,5830,TAIWAN,4834623620,2020-01
2020,2,5830,TAIWAN,3979438848,2020-02
2020,3,5830,TAIWAN,4550292858,2020-03
2020,4,5830,TAIWAN,4641769634,2020-04
2020,5,5830,TAIWAN,4855181289,2020-05
2020,6,5830,TAIWAN,4802509005,2020-06
2020,7,5830,TAIWAN,5310676140,2020-07
2020,8,5830,TAIWAN,5142458196,2020-08
2020,9,5830,TAIWAN,5549244971,2020-09
2020,10,5830,TAIWAN,5623657821,2020-10
2020,11,5830,TAIWAN,5447177420,2020-11
2020,12,5830,TAIWAN,5692930954,2020-12
2020,1,5330,INDIA,4978750914,2020-01
2020,1,7810,BRITISH INDIAN OCEAN TERRITORIES,751,2020-01
2020,2,5330,INDIA,4540264847,2020-02
2020,2,7810,BRITISH INDIAN OCEAN TERRITORIES,64870,2020-02
2020,3,5330,INDIA,4469939704,2020-03
2020,3,7810,BRITISH INDIAN OCEAN TERRITORIES,198,2020-03
2020,4,5330,INDIA,3364742455,2020-04
2020,4,7810,BRITISH INDIAN OCEAN TERRITORIES,0,2020-04
2020,5,5330,INDIA,2120133814,2020-05
2020,5,7810,BRITISH INDIAN OCEAN TERRITORIES,6465,2020-05
2020,6,5330,INDIA,3239454863,2020-06
2020,6,7810,BRITISH INDIAN OCEAN TERRITORIES,75431,2020-06
2020,7,5330,INDIA,4091663658,2020-07
2020,7,7810,BRITISH INDIAN OCEAN TERRITORIES,452,2020-07
2020,8,5330,INDIA,4294294214,2020-08
2020,8,7810,BRITISH INDIAN OCEAN TERRITORIES,13506,2020-08
2020,9,5330,INDIA,4965463970,2020-09
2020,9,7810,BRITISH INDIAN OCEAN TERRITORIES,226,2020-09
2020,10,5330,INDIA,5367803407,2020-10
2020,10,7810,BRITISH INDIAN OCEAN TERRITORIES,4380,2020-10
2020,11,5330,INDIA,4920401437,2020-11
2020,11,7810,BRITISH INDIAN OCEAN TERRITORIES,839,2020-11
2020,12,5330,INDIA,4901674890,2020-12
2020,12,7810,BRITISH INDIAN OCEAN TERRITORIES,681,2020-12
2021,1,5700,CHINA,38835275419,2021-01
2021,2,5700,CHINA,33816759940,2021-02
2021,3,5700,CHINA,39934039704,2021-03
2021,4,5700,CHINA,37371138998,2021-04
2021,5,5700,CHINA,38486525451,2021-05
2021,6,5700,CHINA,39779270246,2021-06
2021,7,5700,CHINA,40290914463,2021-07
2021,8,5700,CHINA,42897843401,2021-08
2021,9,5700,CHINA,47350944635,2021-09
2021,10,5700,CHINA,47873453886,2021-10
2021,11,5700,CHINA,48234758989,2021-11
2021,12,5700,CHINA,49375341266,2021-12
2021,1,2010,MEXICO,28976451284,2021-01
2021,2,2010,MEXICO,27201783374,2021-02
2021,3,2010,MEXICO,33313889483,2021-03
2021,4,2010,MEXICO,31991844406,2021-04
2021,5,2010,MEXICO,31108854912,2021-05
2021,6,2010,MEXICO,32776616579,2021-06
2021,7,2010,MEXICO,31818084797,2021-07
2021,8,2010,MEXICO,31957126193,2021-08
2021,9,2010,MEXICO,31829475316,2021-09
2021,10,2010,MEXICO,34138925977,2021-10
2021,11,2010,MEXICO,34470179273,2021-11
2021,12,2010,MEXICO,32986107656,2021-12
2021,1,1220,CANADA,24721034157,2021-01
2021,2,1220,CANADA,25215553563,2021-02
2021,3,1220,CANADA,29809929563,2021-03
2021,4,1220,CANADA,27484178130,2021-04
2021,5,1220,CANADA,29040495464,2021-05
2021,6,1220,CANADA,32160938378,2021-06
2021,7,1220,CANADA,29809808476,2021-07
2021,8,1220,CANADA,30951337590,2021-08
2021,9,1220,CANADA,29926457015,2021-09
2021,10,1220,CANADA,31577065125,2021-10
2021,11,1220,CANADA,33810911660,2021-11
2021,12,1220,CANADA,32766954323,2021-12
2021,1,5880,JAPAN,10392293542,2021-01
2021,2,5880,JAPAN,9235186164,2021-02
2021,3,5880,JAPAN,12153163982,2021-03
2021,4,5880,JAPAN,12433900653,2021-04
2021,5,5880,JAPAN,11448657859,2021-05
2021,6,5880,JAPAN,11328455140,2021-06
2021,7,5880,JAPAN,12254988878,2021-07
2021,8,5880,JAPAN,12375695239,2021-08
2021,9,5880,JAPAN,10531289705,2021-09
2021,10,5880,JAPAN,10445795925,2021-10
2021,11,5880,JAPAN,10705808441,2021-11
2021,12,5880,JAPAN,11494397175,2021-12
2021,1,4280,GERMANY,10760320695,2021-01
2021,2,4280,GERMANY,9265126816,2021-02
2021,3,4280,GERMANY,11542076654,2021-03
2021,4,4280,GERMANY,11037215456,2021-04
2021,5,4280,GERMANY,11178993974,2021-05
2021,6,4280,GERMANY,11582144113,2021-06
2021,7,4280,GERMANY,11315377797,2021-07
2021,8,4280,GERMANY,12216642505,2021-08
2021,9,4280,GERMANY,11030897824,2021-09
2021,10,4280,GERMANY,11579736337,2021-10
2021,11,4280,GERMANY,11773955917,2021-11
2021,12,4280,GERMANY,11370085745,2021-12
2021,1,4120,UNITED KINGDOM,3919412205,2021-01
2021,2,4120,UNITED KINGDOM,3858393514,2021-02
2021,3,4120,UNITED KINGDOM,5082653769,2021-03
2021,4,4120,UNITED KINGDOM,4619127682,2021-04
2021,5,4120,UNITED KINGDOM,4690877267,2021-05
2021,6,4120,UNITED KINGDOM,5168391117,2021-06
2021,7,4120,UNITED KINGDOM,4706997545,2021-07
2021,8,4120,UNITED KINGDOM,4708538087,2021-08
2021,9,4120,UNITED KINGDOM,4784292863,2021-09
