Code,GeoFips,GeoName,TimePeriod,CL_UNIT,UNIT_MULT,DataValue
SAGDP1-1,00000,United States,2020,Millions of chained 2017 dollars,6,20267585.0
SAGDP1-1,00000,United States,2021,Millions of chained 2017 dollars,6,21494798.0
SAGDP1-1,00000,United States,2022,Millions of chained 2017 dollars,6,22034828.0
SAGDP1-1,00000,United States,2023,Millions of chained 2017 dollars,6,22671096.0
SAGDP1-1,00000,United States,2024,Millions of chained 2017 dollars,6,23305023.0
SAGDP1-1,01000,Alabama,2020,Millions of chained 2017 dollars,6,222288.8
SAGDP1-1,01000,Alabama,2021,Millions of chained 2017 dollars,6,233726.6
SAGDP1-1,01000,Alabama,2022,Millions of chained 2017 dollars,6,238556.5
SAGDP1-1,01000,Alabama,2023,Millions of chained 2017 dollars,6,245354.7
SAGDP1-1,01000,Alabama,2024,Millions of chained 2017 dollars,6,252664.5
SAGDP1-1,02000,Alaska,2020,Millions of chained 2017 dollars,6,50332.8
SAGDP1-1,02000,Alaska,2021,Millions of chained 2017 dollars,6,51454.1
SAGDP1-1,02000,Alaska,2022,Millions of chained 2017 dollars,6,50767.1
SAGDP1-1,02000,Alaska,2023,Millions of chained 2017 dollars,6,54059.7
SAGDP1-1,02000,Alaska,2024,Millions of chained 2017 dollars,6,54881.0
SAGDP1-1,04000,Arizona,2020,Millions of chained 2017 dollars,6,365027.7
SAGDP1-1,04000,Arizona,2021,Millions of chained 2017 dollars,6,395035.9
SAGDP1-1,04000,Arizona,2022,Millions of chained 2017 dollars,6,410228.4
SAGDP1-1,04000,Arizona,2023,Millions of chained 2017 dollars,6,422399.6
SAGDP1-1,04000,Arizona,2024,Millions of chained 2017 dollars,6,433763.2
SAGDP1-1,05000,Arkansas,2020,Millions of chained 2017 dollars,6,128340.9
SAGDP1-1,05000,Arkansas,2021,Millions of chained 2017 dollars,6,137463.6
SAGDP1-1,05000,Arkansas,2022,Millions of chained 2017 dollars,6,139560.7
SAGDP1-1,05000,Arkansas,2023,Millions of chained 2017 dollars,6,142860.6
SAGDP1-1,05000,Arkansas,2024,Millions of chained 2017 dollars,6,148208.5
SAGDP1-1,06000,California,2020,Millions of chained 2017 dollars,6,2933320.2
SAGDP1-1,06000,California,2021,Millions of chained 2017 dollars,6,3154188.6
SAGDP1-1,06000,California,2022,Millions of chained 2017 dollars,6,3184007.8
SAGDP1-1,06000,California,2023,Millions of chained 2017 dollars,6,3248656.6
SAGDP1-1,06000,California,2024,Millions of chained 2017 dollars,6,3365083.3
SAGDP1-1,08000,Colorado,2020,Millions of chained 2017 dollars,6,380188.8
SAGDP1-1,08000,Colorado,2021,Millions of chained 2017 dollars,6,406451.9
SAGDP1-1,08000,Colorado,2022,Millions of chained 2017 dollars,6,418818.8
SAGDP1-1,08000,Colorado,2023,Millions of chained 2017 dollars,6,437056.0
SAGDP1-1,08000,Colorado,2024,Millions of chained 2017 dollars,6,445302.4
SAGDP1-1,09000,Connecticut,2020,Millions of chained 2017 dollars,6,260765.2
SAGDP1-1,09000,Connecticut,2021,Millions of chained 2017 dollars,6,269838.7
SAGDP1-1,09000,Connecticut,2022,Millions of chained 2017 dollars,6,278975.9
SAGDP1-1,09000,Connecticut,2023,Millions of chained 2017 dollars,6,286628.4
SAGDP1-1,09000,Connecticut,2024,Millions of chained 2017 dollars,6,294027.6
SAGDP1-1,10000,Delaware,2020,Millions of chained 2017 dollars,6,72506.8
SAGDP1-1,10000,Delaware,2021,Millions of chained 2017 dollars,6,74657.1
SAGDP1-1,10000,Delaware,2022,Millions of chained 2017 dollars,6,77149.2
SAGDP1-1,10000,Delaware,2023,Millions of chained 2017 dollars,6,78014.4
SAGDP1-1,10000,Delaware,2024,Millions of chained 2017 dollars,6,79652.7
SAGDP1-1,11000,District of Columbia,2020,Millions of chained 2017 dollars,6,137640.8
SAGDP1-1,11000,District of Columbia,2021,Millions of chained 2017 dollars,6,143141.4
SAGDP1-1,11000,District of Columbia,2022,Millions of chained 2017 dollars,6,144554.6
SAGDP1-1,11000,District of Columbia,2023,Millions of chained 2017 dollars,6,146024.3
SAGDP1-1,11000,District of Columbia,2024,Millions of chained 2017 dollars,6,148020.1
SAGDP1-1,12000,Florida,2020,Millions of chained 2017 dollars,6,1069758.8
SAGDP1-1,12000,Florida,2021,Millions of chained 2017 dollars,6,1170526.3
SAGDP1-1,12000,Florida,2022,Millions of chained 2017 dollars,6,1239883.6
SAGDP1-1,12000,Florida,2023,Millions of chained 2017 dollars,6,1292787.6
SAGDP1-1,12000,Florida,2024,Millions of chained 2017 dollars,6,1339618.6
SAGDP1-1,13000,Georgia,2020,Millions of chained 2017 dollars,6,604745.9
SAGDP1-1,13000,Georgia,2021,Millions of chained 2017 dollars,6,643013.8
SAGDP1-1,13000,Georgia,2022,Millions of chained 2017 dollars,6,665678.1
SAGDP1-1,13000,Georgia,2023,Millions of chained 2017 dollars,6,678201.2
SAGDP1-1,13000,Georgia,2024,Millions of chained 2017 dollars,6,701072.8
SAGDP1-1,15000,Hawaii,2020,Millions of chained 2017 dollars,6,79840.1
SAGDP1-1,15000,Hawaii,2021,Millions of chained 2017 dollars,6,84408.5
SAGDP1-1,15000,Hawaii,2022,Millions of chained 2017 dollars,6,86887.8
SAGDP1-1,15000,Hawaii,2023,Millions of chained 2017 dollars,6,88614.3
SAGDP1-1,15000,Hawaii,2024,Millions of chained 2017 dollars,6,90280.2
SAGDP1-1,16000,Idaho,2020,Millions of chained 2017 dollars,6,82717.4
SAGDP1-1,16000,Idaho,2021,Millions of chained 2017 dollars,6,88969.6
SAGDP1-1,16000,Idaho,2022,Millions of chained 2017 dollars,6,92903.7
SAGDP1-1,16000,Idaho,2023,Millions of chained 2017 dollars,6,95897.9
SAGDP1-1,16000,Idaho,2024,Millions of chained 2017 dollars,6,99603.0
SAGDP1-1,17000,Illinois,2020,Millions of chained 2017 dollars,6,810200.9
SAGDP1-1,17000,Illinois,2021,Millions of chained 2017 dollars,6,855888.1
SAGDP1-1,17000,Illinois,2022,Millions of chained 2017 dollars,6,876536.0
SAGDP1-1,17000,Illinois,2023,Millions of chained 2017 dollars,6,885651.3
SAGDP1-1,17000,Illinois,2024,Millions of chained 2017 dollars,6,895342.5
SAGDP1-1,18000,Indiana,2020,Millions of chained 2017 dollars,6,359787.3
SAGDP1-1,18000,Indiana,2021,Millions of chained 2017 dollars,6,387122.0
SAGDP1-1,18000,Indiana,2022,Millions of chained 2017 dollars,6,399280.8
SAGDP1-1,18000,Indiana,2023,Millions of chained 2017 dollars,6,404290.3
SAGDP1-1,18000,Indiana,2024,Millions of chained 2017 dollars,6,419472.8
SAGDP1-1,19000,Iowa,2020,Millions of chained 2017 dollars,6,186328.2
SAGDP1-1,19000,Iowa,2021,Millions of chained 2017 dollars,6,201147.1
SAGDP1-1,19000,Iowa,2022,Millions of chained 2017 dollars,6,201580.4
SAGDP1-1,19000,Iowa,2023,Millions of chained 2017 dollars,6,202051.4
SAGDP1-1,19000,Iowa,2024,Millions of chained 2017 dollars,6,201096.8
SAGDP1-1,20000,Kansas,2020,Millions of chained 2017 dollars,6,168056.8
SAGDP1-1,20000,Kansas,2021,Millions of chained 2017 dollars,6,172782.4
SAGDP1-1,20000,Kansas,2022,Millions of chained 2017 dollars,6,177470.1
SAGDP1-1,20000,Kansas,2023,Millions of chained 2017 dollars,6,183795.6
SAGDP1-1,20000,Kansas,2024,Millions of chained 2017 dollars,6,185720.9
SAGDP1-1,21000,Kentucky,2020,Millions of chained 2017 dollars,6,206049.6
SAGDP1-1,21000,Kentucky,2021,Millions of chained 2017 dollars,6,215133.2
SAGDP1-1,21000,Kentucky,2022,Millions of chained 2017 dollars,6,219755.6
SAGDP1-1,21000,Kentucky,2023,Millions of chained 2017 dollars,6,224418.0
SAGDP1-1,21000,Kentucky,2024,Millions of chained 2017 dollars,6,229885.4
SAGDP1-1,22000,Louisiana,2020,Millions of chained 2017 dollars,6,228951.3
SAGDP1-1,22000,Louisiana,2021,Millions of chained 2017 dollars,6,237839.2
SAGDP1-1,22000,Louisiana,2022,Millions of chained 2017 dollars,6,236854.1
SAGDP1-1,22000,Louisiana,2023,Millions of chained 2017 dollars,6,248615.5
SAGDP1-1,22000,Louisiana,2024,Millions of chained 2017 dollars,6,256422.3
SAGDP1-1,23000,Maine,2020,Millions of chained 2017 dollars,6,67410.9
SAGDP1-1,23000,Maine,2021,Millions of chained 2017 dollars,6,71142.4
SAGDP1-1,23000,Maine,2022,Millions of chained 2017 dollars,6,73036.2
