id,in_force_from,termination_dt,general_description,national_legal_bases,administrative_mechanisms,reporter_code,reporter_name_en,restrictions,measure_1_flow,measure_1_symbol,measure_1_group,measure_1_description_en,notification_1_date,notification_1_document,notification_1_url,measure_2_flow,measure_2_symbol,measure_2_group,measure_2_description_en,notification_2_date,notification_2_document,notification_2_url,notification_3_date,notification_3_document,notification_3_url,measure_3_flow,measure_3_symbol,measure_3_group,measure_3_description_en,measure_4_flow,measure_4_symbol,measure_4_group,measure_4_description_en,notification_4_date,notification_4_document,notification_4_url,notification_5_date,notification_5_document,notification_5_url,measure_5_flow,measure_5_symbol,measure_5_group,measure_5_description_en,measure_6_flow,measure_6_symbol,measure_6_group,measure_6_description_en
203,2014-10-01,,Prohibition sauf dans des conditions définies,- Décret 93-313 du 11 mars 93 portant application de la loi sur la concurrence- Code des animaux de l'OIE,,C384,Côte d'Ivoire,CP ,import,CP,CP,Prohibition except under defined conditions,2014-08-18,G/MA/QR/N/CIV/1,https://docs.wto.org/dol2fe/Pages/FE_Search/FE_S_S006.aspx?MetaCollection=WTO&SymbolList=G/MA/QR/N/CIV/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2014-10-01,,Prohibition sauf dans des conditions définies,- Décret 93-313 du 11 mars 93 portant application de la loi sur la concurrence- Décret 63-457 du 7 novembre 1963 pour l'autorisation préalable des plantes d'origine végétale,,C384,Côte d'Ivoire,CP ,import,CP,CP,Prohibition except under defined conditions,2014-08-18,G/MA/QR/N/CIV/1,https://docs.wto.org/dol2fe/Pages/FE_Search/FE_S_S006.aspx?MetaCollection=WTO&SymbolList=G/MA/QR/N/CIV/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2014-10-01,,Prohibition sauf dans des conditions définies,- Décret 93-313 du 11 mars 93 portant application de la loi sur la concurrence,,C384,Côte d'Ivoire,CP ,import,CP,CP,Prohibition except under defined conditions,2014-08-18,G/MA/QR/N/CIV/1,https://docs.wto.org/dol2fe/Pages/FE_Search/FE_S_S006.aspx?MetaCollection=WTO&SymbolList=G/MA/QR/N/CIV/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2014-10-01,,Prohibition sauf dans des conditions définies,- Décret 93-313 du 11 mars 93 portant application de la loi sur la concurrence,,C384,Côte d'Ivoire,CP ,import,CP,CP,Prohibition except under defined conditions,2014-08-18,G/MA/QR/N/CIV/1,https://docs.wto.org/dol2fe/Pages/FE_Search/FE_S_S006.aspx?MetaCollection=WTO&SymbolList=G/MA/QR/N/CIV/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2014-10-01,,Prohibition sauf dans des conditions définies,- Décret 93-313 du 11 mars 93 portant application de la loi sur la concurrence,,C384,Côte d'Ivoire,CP ,import,CP,CP,Prohibition except under defined conditions,2014-08-18,G/MA/QR/N/CIV/1,https://docs.wto.org/dol2fe/Pages/FE_Search/FE_S_S006.aspx?MetaCollection=WTO&SymbolList=G/MA/QR/N/CIV/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,2014-10-01,,Prohibition sauf dans des conditions définies,- Décret 93-313 du 11 mars 93 portant application de la loi sur la concurrence,,C384,Côte d'Ivoire,CP ,import,CP,CP,Prohibition except under defined conditions,2014-08-18,G/MA/QR/N/CIV/1,https://docs.wto.org/dol2fe/Pages/FE_Search/FE_S_S006.aspx?MetaCollection=WTO&SymbolList=G/MA/QR/N/CIV/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2014-10-01,,Prohibition sauf dans des conditions définies,- Décret 93-313 du 11 mars 93 portant application de la loi sur la concurrence- Loi 65-250 du 4 août 1965 portant modification d'article du code de la santé publique relatif au régime des médicaments- Décret 65-279 du 18 août 1965 portant application de la loi 65-250 du 4 août 1965 portant modification d'article du code de la santé publique relatif au régime des médicaments.- Décret 94-667 du 21 décembre 94 fixant les conditions d'acquisition des médicaments et régime des prix des médicaments,,C384,Côte d'Ivoire,CP ,import,CP,CP,Prohibition except under defined conditions,2014-08-18,G/MA/QR/N/CIV/1,https://docs.wto.org/dol2fe/Pages/FE_Search/FE_S_S006.aspx?MetaCollection=WTO&SymbolList=G/MA/QR/N/CIV/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2014-10-01,,Prohibition sauf dans des conditions définies,- Décret 96-561 du 25 juillet 96 relative à la pharmacie vétérinaire- Décret 2001-487 du 9 août 2001 portant application de la loi 96-56 du 25 juillet 96 relative à la pharmacie vétérinaire,,C384,Côte d'Ivoire,CP ,import,CP,CP,Prohibition except under defined conditions,2014-08-18,G/MA/QR/N/CIV/1,https://docs.wto.org/dol2fe/Pages/FE_Search/FE_S_S006.aspx?MetaCollection=WTO&SymbolList=G/MA/QR/N/CIV/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2014-10-01,,Prohibition,Loi 96-766 du 13 octobre 1996 portant code de l'environnement,,C384,Côte d'Ivoire,P ,import,P,P,Prohibition,2014-08-18,G/MA/QR/N/CIV/1,https://docs.wto.org/dol2fe/Pages/FE_Search/FE_S_S006.aspx?MetaCollection=WTO&SymbolList=G/MA/QR/N/CIV/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2014-10-01,,Prohibition,Arrêté 018 du 3 avril 1996,,C384,Côte d'Ivoire,P ,import,P,P,Prohibition,2014-08-18,G/MA/QR/N/CIV/1,https://docs.wto.org/dol2fe/Pages/FE_Search/FE_S_S006.aspx?MetaCollection=WTO&SymbolList=G/MA/QR/N/CIV/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
