Code,GeoFips,GeoName,TimePeriod,CL_UNIT,UNIT_MULT,DataValue
SAGDP2-1,00000,United States *,2020,Millions of current dollars,6,21354105.0
SAGDP2-1,00000,United States *,2021,Millions of current dollars,6,23681171.0
SAGDP2-1,00000,United States *,2022,Millions of current dollars,6,26006893.0
SAGDP2-1,00000,United States *,2023,Millions of current dollars,6,27720709.0
SAGDP2-1,00000,United States *,2024,Millions of current dollars,6,29184890.0
SAGDP2-1,01000,Alabama,2020,Millions of current dollars,6,235325.3
SAGDP2-1,01000,Alabama,2021,Millions of current dollars,6,260018.4
SAGDP2-1,01000,Alabama,2022,Millions of current dollars,6,284949.1
SAGDP2-1,01000,Alabama,2023,Millions of current dollars,6,304935.6
SAGDP2-1,01000,Alabama,2024,Millions of current dollars,6,321237.6
SAGDP2-1,02000,Alaska,2020,Millions of current dollars,6,51283.4
SAGDP2-1,02000,Alaska,2021,Millions of current dollars,6,58943.5
SAGDP2-1,02000,Alaska,2022,Millions of current dollars,6,66271.9
SAGDP2-1,02000,Alaska,2023,Millions of current dollars,6,68056.0
SAGDP2-1,02000,Alaska,2024,Millions of current dollars,6,69969.0
SAGDP2-1,04000,Arizona,2020,Millions of current dollars,6,388956.7
SAGDP2-1,04000,Arizona,2021,Millions of current dollars,6,436778.6
SAGDP2-1,04000,Arizona,2022,Millions of current dollars,6,484052.2
SAGDP2-1,04000,Arizona,2023,Millions of current dollars,6,522767.2
SAGDP2-1,04000,Arizona,2024,Millions of current dollars,6,552167.0
SAGDP2-1,05000,Arkansas,2020,Millions of current dollars,6,136198.4
SAGDP2-1,05000,Arkansas,2021,Millions of current dollars,6,154052.5
SAGDP2-1,05000,Arkansas,2022,Millions of current dollars,6,168605.8
SAGDP2-1,05000,Arkansas,2023,Millions of current dollars,6,178606.4
SAGDP2-1,05000,Arkansas,2024,Millions of current dollars,6,188723.1
SAGDP2-1,06000,California,2020,Millions of current dollars,6,3076755.1
SAGDP2-1,06000,California,2021,Millions of current dollars,6,3423958.3
SAGDP2-1,06000,California,2022,Millions of current dollars,6,3660415.7
SAGDP2-1,06000,California,2023,Millions of current dollars,6,3870378.9
SAGDP2-1,06000,California,2024,Millions of current dollars,6,4103123.6
SAGDP2-1,08000,Colorado,2020,Millions of current dollars,6,396741.9
SAGDP2-1,08000,Colorado,2021,Millions of current dollars,6,445835.7
SAGDP2-1,08000,Colorado,2022,Millions of current dollars,6,494672.8
SAGDP2-1,08000,Colorado,2023,Millions of current dollars,6,529626.5
SAGDP2-1,08000,Colorado,2024,Millions of current dollars,6,553322.5
SAGDP2-1,09000,Connecticut,2020,Millions of current dollars,6,278029.4
SAGDP2-1,09000,Connecticut,2021,Millions of current dollars,6,296801.3
SAGDP2-1,09000,Connecticut,2022,Millions of current dollars,6,321686.4
SAGDP2-1,09000,Connecticut,2023,Millions of current dollars,6,345911.9
SAGDP2-1,09000,Connecticut,2024,Millions of current dollars,6,365723.1
SAGDP2-1,10000,Delaware,2020,Millions of current dollars,6,77520.3
SAGDP2-1,10000,Delaware,2021,Millions of current dollars,6,83069.8
SAGDP2-1,10000,Delaware,2022,Millions of current dollars,6,92558.2
SAGDP2-1,10000,Delaware,2023,Millions of current dollars,6,98068.7
SAGDP2-1,10000,Delaware,2024,Millions of current dollars,6,103253.3
SAGDP2-1,11000,District of Columbia,2020,Millions of current dollars,6,146660.1
SAGDP2-1,11000,District of Columbia,2021,Millions of current dollars,6,156537.5
SAGDP2-1,11000,District of Columbia,2022,Millions of current dollars,6,165768.4
SAGDP2-1,11000,District of Columbia,2023,Millions of current dollars,6,176501.7
SAGDP2-1,11000,District of Columbia,2024,Millions of current dollars,6,186165.0
SAGDP2-1,12000,Florida,2020,Millions of current dollars,6,1142004.4
SAGDP2-1,12000,Florida,2021,Millions of current dollars,6,1298631.2
SAGDP2-1,12000,Florida,2022,Millions of current dollars,6,1465281.1
