indicator_code,indicator_name,country_code,country_name,partner_code,partner_name,product_code,product_name,year,period,frequency,tariff_unit,tariff_value,flag
TP_A_0150,MFN -  Number of applied tariff lines,124,Canada,,,,,2018,Annual,Annual,Number,7303.0,
TP_A_0150,MFN -  Number of applied tariff lines,124,Canada,,,,,2019,Annual,Annual,Number,6826.0,
TP_A_0150,MFN -  Number of applied tariff lines,124,Canada,,,,,2020,Annual,Annual,Number,6826.0,
TP_A_0150,MFN -  Number of applied tariff lines,124,Canada,,,,,2021,Annual,Annual,Number,6826.0,
TP_A_0150,MFN -  Number of applied tariff lines,124,Canada,,,,,2022,Annual,Annual,Number,7106.0,
TP_A_0150,MFN -  Number of applied tariff lines,156,China,,,,,2018,Annual,Annual,Number,11791.0,
TP_A_0150,MFN -  Number of applied tariff lines,156,China,,,,,2019,Annual,Annual,Number,8548.0,
TP_A_0150,MFN -  Number of applied tariff lines,156,China,,,,,2020,Annual,Annual,Number,8548.0,
TP_A_0150,MFN -  Number of applied tariff lines,156,China,,,,,2021,Annual,Annual,Number,8640.0,
TP_A_0150,MFN -  Number of applied tariff lines,156,China,,,,,2022,Annual,Annual,Number,8986.0,
TP_A_0150,MFN -  Number of applied tariff lines,392,Japan,,,,,2018,Annual,Annual,Number,9611.0,
TP_A_0150,MFN -  Number of applied tariff lines,392,Japan,,,,,2019,Annual,Annual,Number,9734.0,
TP_A_0150,MFN -  Number of applied tariff lines,392,Japan,,,,,2020,Annual,Annual,Number,9725.0,
TP_A_0150,MFN -  Number of applied tariff lines,392,Japan,,,,,2021,Annual,Annual,Number,9582.0,
TP_A_0150,MFN -  Number of applied tariff lines,392,Japan,,,,,2022,Annual,Annual,Number,9865.0,
TP_A_0150,MFN -  Number of applied tariff lines,484,Mexico,,,,,2022,Annual,Annual,Number,7839.0,
TP_A_0150,MFN -  Number of applied tariff lines,484,Mexico,,,,,2018,Annual,Annual,Number,12535.0,
TP_A_0150,MFN -  Number of applied tariff lines,484,Mexico,,,,,2019,Annual,Annual,Number,12535.0,
TP_A_0150,MFN -  Number of applied tariff lines,484,Mexico,,,,,2020,Annual,Annual,Number,12763.0,
TP_A_0150,MFN -  Number of applied tariff lines,484,Mexico,,,,,2021,Annual,Annual,Number,7801.0,
TP_A_0150,MFN -  Number of applied tariff lines,840,United States of America,,,,,2018,Annual,Annual,Number,11635.0,
TP_A_0150,MFN -  Number of applied tariff lines,840,United States of America,,,,,2019,Annual,Annual,Number,11640.0,
TP_A_0150,MFN -  Number of applied tariff lines,840,United States of America,,,,,2020,Annual,Annual,Number,11610.0,
TP_A_0150,MFN -  Number of applied tariff lines,840,United States of America,,,,,2021,Annual,Annual,Number,11611.0,
TP_A_0150,MFN -  Number of applied tariff lines,840,United States of America,,,,,2022,Annual,Annual,Number,12150.0,
TP_A_0150,MFN -  Number of applied tariff lines,356,India,,,,,2018,Annual,Annual,Number,11776.0,
TP_A_0150,MFN -  Number of applied tariff lines,356,India,,,,,2019,Annual,Annual,Number,11760.0,
TP_A_0150,MFN -  Number of applied tariff lines,356,India,,,,,2020,Annual,Annual,Number,11964.0,
TP_A_0150,MFN -  Number of applied tariff lines,356,India,,,,,2021,Annual,Annual,Number,11907.0,
TP_A_0150,MFN -  Number of applied tariff lines,356,India,,,,,2022,Annual,Annual,Number,12088.0,
TP_A_0150,MFN -  Number of applied tariff lines,410,"Korea, Republic of",,,,,2018,Annual,Annual,Number,12488.0,
TP_A_0150,MFN -  Number of applied tariff lines,410,"Korea, Republic of",,,,,2019,Annual,Annual,Number,12566.0,
TP_A_0150,MFN -  Number of applied tariff lines,410,"Korea, Republic of",,,,,2020,Annual,Annual,Number,12563.0,
TP_A_0150,MFN -  Number of applied tariff lines,410,"Korea, Republic of",,,,,2021,Annual,Annual,Number,12476.0,
TP_A_0150,MFN -  Number of applied tariff lines,410,"Korea, Republic of",,,,,2022,Annual,Annual,Number,11430.0,
TP_A_0150,MFN -  Number of applied tariff lines,704,Viet Nam,,,,,2018,Annual,Annual,Number,10925.0,
TP_A_0150,MFN -  Number of applied tariff lines,704,Viet Nam,,,,,2019,Annual,Annual,Number,11307.0,
TP_A_0150,MFN -  Number of applied tariff lines,704,Viet Nam,,,,,2020,Annual,Annual,Number,11090.0,
TP_A_0150,MFN -  Number of applied tariff lines,704,Viet Nam,,,,,2021,Annual,Annual,Number,11134.0,
TP_A_0150,MFN -  Number of applied tariff lines,704,Viet Nam,,,,,2022,Annual,Annual,Number,11043.0,
TP_A_0150,MFN -  Number of applied tariff lines,826,United Kingdom,,,,,2021,Annual,Annual,Number,9528.0,
TP_A_0150,MFN -  Number of applied tariff lines,826,United Kingdom,,,,,2022,Annual,Annual,Number,9769.0,
TP_A_0150,MFN -  Number of applied tariff lines,076,Brazil,,,,,2018,Annual,Annual,Number,10264.0,
TP_A_0150,MFN -  Number of applied tariff lines,076,Brazil,,,,,2019,Annual,Annual,Number,10269.0,
TP_A_0150,MFN -  Number of applied tariff lines,076,Brazil,,,,,2020,Annual,Annual,Number,10299.0,
TP_A_0150,MFN -  Number of applied tariff lines,076,Brazil,,,,,2021,Annual,Annual,Number,10301.0,
TP_A_0150,MFN -  Number of applied tariff lines,076,Brazil,,,,,2022,Annual,Annual,Number,10439.0,
TP_A_0150,MFN -  Number of applied tariff lines,158,Chinese Taipei,,,,,2018,Annual,Annual,Number,9133.0,
TP_A_0150,MFN -  Number of applied tariff lines,158,Chinese Taipei,,,,,2019,Annual,Annual,Number,9135.0,
TP_A_0150,MFN -  Number of applied tariff lines,158,Chinese Taipei,,,,,2020,Annual,Annual,Number,9135.0,
TP_A_0150,MFN -  Number of applied tariff lines,158,Chinese Taipei,,,,,2021,Annual,Annual,Number,9135.0,
TP_A_0150,MFN -  Number of applied tariff lines,158,Chinese Taipei,,,,,2022,Annual,Annual,Number,9135.0,
TP_A_0150,MFN -  Number of applied tariff lines,458,Malaysia,,,,,2019,Annual,Annual,Number,11683.0,
TP_A_0150,MFN -  Number of applied tariff lines,458,Malaysia,,,,,2020,Annual,Annual,Number,11708.0,
TP_A_0150,MFN -  Number of applied tariff lines,458,Malaysia,,,,,2021,Annual,Annual,Number,11713.0,
TP_A_0150,MFN -  Number of applied tariff lines,458,Malaysia,,,,,2022,Annual,Annual,Number,11434.0,
TP_A_0150,MFN -  Number of applied tariff lines,702,Singapore,,,,,2018,Annual,Annual,Number,9557.0,
TP_A_0150,MFN -  Number of applied tariff lines,702,Singapore,,,,,2019,Annual,Annual,Number,10812.0,
TP_A_0150,MFN -  Number of applied tariff lines,702,Singapore,,,,,2020,Annual,Annual,Number,10812.0,
TP_A_0150,MFN -  Number of applied tariff lines,702,Singapore,,,,,2021,Annual,Annual,Number,10812.0,
TP_A_0150,MFN -  Number of applied tariff lines,702,Singapore,,,,,2022,Annual,Annual,Number,11414.0,
TP_A_0150,MFN -  Number of applied tariff lines,756,Switzerland,,,,,2018,Annual,Annual,Number,8522.0,
TP_A_0150,MFN -  Number of applied tariff lines,756,Switzerland,,,,,2019,Annual,Annual,Number,8522.0,
TP_A_0150,MFN -  Number of applied tariff lines,756,Switzerland,,,,,2020,Annual,Annual,Number,8522.0,
TP_A_0150,MFN -  Number of applied tariff lines,756,Switzerland,,,,,2021,Annual,Annual,Number,8524.0,
TP_A_0150,MFN -  Number of applied tariff lines,756,Switzerland,,,,,2022,Annual,Annual,Number,8793.0,
TP_A_0150,MFN -  Number of applied tariff lines,764,Thailand,,,,,2019,Annual,Annual,Number,10812.0,
TP_A_0150,MFN -  Number of applied tariff lines,764,Thailand,,,,,2020,Annual,Annual,Number,10812.0,
TP_A_0150,MFN -  Number of applied tariff lines,764,Thailand,,,,,2021,Annual,Annual,Number,10812.0,
TP_A_0150,MFN -  Number of applied tariff lines,764,Thailand,,,,,2022,Annual,Annual,Number,11542.0,
TP_A_0150,MFN -  Number of applied tariff lines,036,Australia,,,,,2018,Annual,Annual,Number,6482.0,
TP_A_0150,MFN -  Number of applied tariff lines,036,Australia,,,,,2019,Annual,Annual,Number,6495.0,
TP_A_0150,MFN -  Number of applied tariff lines,036,Australia,,,,,2020,Annual,Annual,Number,6485.0,
TP_A_0150,MFN -  Number of applied tariff lines,036,Australia,,,,,2021,Annual,Annual,Number,6484.0,
TP_A_0150,MFN -  Number of applied tariff lines,036,Australia,,,,,2022,Annual,Annual,Number,6805.0,
TP_A_0150,MFN -  Number of applied tariff lines,360,Indonesia,,,,,2018,Annual,Annual,Number,10812.0,
TP_A_0150,MFN -  Number of applied tariff lines,360,Indonesia,,,,,2019,Annual,Annual,Number,10812.0,
TP_A_0150,MFN -  Number of applied tariff lines,360,Indonesia,,,,,2021,Annual,Annual,Number,10812.0,
TP_A_0150,MFN -  Number of applied tariff lines,360,Indonesia,,,,,2022,Annual,Annual,Number,11552.0,
TP_A_0150,MFN -  Number of applied tariff lines,643,Russian Federation,,,,,2018,Annual,Annual,Number,12049.0,
TP_A_0150,MFN -  Number of applied tariff lines,643,Russian Federation,,,,,2019,Annual,Annual,Number,12238.0,
TP_A_0150,MFN -  Number of applied tariff lines,643,Russian Federation,,,,,2020,Annual,Annual,Number,12287.0,
TP_A_0150,MFN -  Number of applied tariff lines,643,Russian Federation,,,,,2021,Annual,Annual,Number,12309.0,
TP_A_0150,MFN -  Number of applied tariff lines,643,Russian Federation,,,,,2022,Annual,Annual,Number,13229.0,
TP_A_0150,MFN -  Number of applied tariff lines,032,Argentina,,,,,2018,Annual,Annual,Number,10032.0,
TP_A_0150,MFN -  Number of applied tariff lines,032,Argentina,,,,,2019,Annual,Annual,Number,10225.0,
TP_A_0150,MFN -  Number of applied tariff lines,032,Argentina,,,,,2020,Annual,Annual,Number,10640.0,
TP_A_0150,MFN -  Number of applied tariff lines,032,Argentina,,,,,2021,Annual,Annual,Number,10793.0,
TP_A_0150,MFN -  Number of applied tariff lines,032,Argentina,,,,,2022,Annual,Annual,Number,10811.0,
TP_A_0150,MFN -  Number of applied tariff lines,376,Israel,,,,,2019,Annual,Annual,Number,8552.0,
TP_A_0150,MFN -  Number of applied tariff lines,376,Israel,,,,,2020,Annual,Annual,Number,8537.0,
